"Deidentified subject id","gender","timezone","age","race","duration of data collection (days)"
"00063b52-34ac-4601-b577-0c79697a93d0","Woman","America/Chicago",19,"Hispanic",59
"0021c07e-5862-4768-90ad-00155cdf8d24","Man","America/New_York",18,"Asian",85
"00388775-c13e-4fac-baae-3b0a01c85374","Woman","Europe/London",43,"White",419
"00c3b9aa-afa3-4226-ab15-82b5ba81f255","Woman","America/New_York",18,"Asian",4
"00e7fab6-e168-40f4-bf4d-200a0c6a744a","Man","America/Detroit",20,"White",8
"010b2b7d-a66e-420d-8e80-acffebef4674","Man","America/Detroit",19,"White",310
"0142fb9d-7969-4f84-87e0-35d8eabc1e6d","Man","America/New_York",27,"White",36
"01662752-a595-4f63-a3f5-80933461c2eb","Woman","America/Detroit",20,"White",105
"016948ad-01a8-41fc-98f9-5c5ddb9c4483","Man","America/Detroit",22,"White",11
"02156cd1-a3d4-428d-9799-670c2de643f0","Man","America/Detroit",28,"White",325
"0220588c-2789-4c7c-a1c1-2675ac54c780","Man","America/Detroit",26,"White",55
"0241db4e-737e-46f4-ae92-a660a7cf6af6","Woman","America/Detroit",28,"White",31
"0264055f-7596-40f1-b744-341f557e6a45","Woman","America/Detroit",20,"Asian",100
"029be6d6-bd34-46d0-b72b-0072451ac35a","Woman","America/Detroit",19,"White",9
"02b42727-ba1e-4b39-9cff-262252b3cd94","Woman","America/Detroit",18,"Asian",137
"03019e2e-2085-4ce0-ad2c-945fc9ae3bba","Man","America/Detroit",19,"White",8
"031f1cd0-3abf-4bbe-ac54-84d30a9cccea","Man","America/Chicago",61,"White",600
"031f6dba-4f64-45d6-a63f-4574d50209f8","Woman","America/Detroit",19,"Hispanic",2
"03215b35-b766-4b0e-ac3a-14b50b72d56a","Woman","America/New_York",18,"White",67
"03267f55-03e1-424b-afe3-0955ad5f250b","Man","America/Detroit",25,"White",46
"033ce525-bddf-4341-8780-2ce08f7947cc","Woman","America/Detroit",31,"Asian",3
"03833245-0e66-4b34-85d1-d6a82b766ac0","Woman","America/New_York",22,"White",77
"03b63247-5757-42d1-89ef-49b4dd8ebf4e","Woman","America/Detroit",22,"White",71
"03ca334b-bada-42ed-9936-2b2914f4cb37","Woman","America/Detroit",22,"White",3
"03ce5f3a-340b-4c26-840a-121cc029f9fa","Woman","America/Detroit",21,"White",11
"04014a7d-50fa-49dd-a3a9-2d4a39359803","Man","Africa/Cairo",49,"Hispanic",399
"04219359-1dd8-4e50-9d24-4d20725d5a20","Woman","America/Detroit",24,"White",54
"04667da7-5e0f-4e89-83ad-38b5d20f1337","Woman","America/Detroit",20,"Asian",81
"0495c2c3-cf76-4c70-b05c-865c1d057343","Woman","America/New_York",19,"Asian",36
"04a00953-b147-4ccc-b886-dc9bacb8d00b","Man","America/Detroit",19,"White",4
"052cb9aa-eb2e-4352-818c-7a1ac0157065","Woman","America/Denver",70,"White",811
"052dce6e-eea1-4300-9eb5-4bcf2e553144","Woman","America/Detroit",20,"White",56
"053a4315-1628-40e6-a6dd-e5b6ed1d3a71","Woman","America/Detroit",21,"White",11
"0577f25e-791d-4463-9638-b97e05b0775d","Woman","America/Detroit",30,"White",86
"0579fc02-8806-40c1-80ae-ba297e2da8e9","Man","America/Detroit",0,"White",30
"05f5b5f5-7783-4241-9ca6-0c59716c88b1","Woman","America/Detroit",19,"White",227
"06b490e7-b477-4da2-b321-e4c9bc408925","Man","America/Detroit",38,"White",139
"0725bb5e-177c-4346-a7f3-5e7d5c00d72b","Woman","America/Detroit",21,"Asian",81
"0746e6d8-5279-4c41-898f-cc2d33ca7e8a","Man","America/Los_Angeles",22,"White",18
"0772ac49-042a-4340-8d3c-19abcb5394e7","Woman","America/Detroit",22,"Asian",27
"0780013e-76de-4df4-b30b-28d2f0e78ff4","Woman","America/Detroit",21,"Asian",6
"078d867d-0fa7-4c04-bd0f-b61aa20c431b","Woman","America/Detroit",19,"White",189
"07d3b83b-8639-4406-85e5-509fb21f6219","Man","America/Detroit",19,"Asian",47
"08237d3f-c58e-4188-a0e0-9173da59777d","Woman","America/Detroit",26,"White",4
"0853df35-f4f9-4cf7-ba9d-0b32b86a1589","Woman","America/Detroit",18,"White",18
"08643730-9684-4edd-ac81-7985e677cb1d","Man","America/Vancouver",24,"",125
"086f7f2e-5a41-4319-965d-b7adbaa34040","Man","Atlantic/Reykjavik",16,"White",15
"087196a5-75e0-4213-ad9a-db35f41e2f9b","Woman","America/New_York",28,"White",28
"08725d69-e1de-4b22-9b12-5ca1b781f7e1","Woman","America/Detroit",29,"White",2
"087e6b8c-c0d8-41d6-ae97-58577b37ec9b","Man","America/Los_Angeles",38,"Asian",99
"08d8f4a3-1380-43d9-80d0-cca30f2c1d4f","Man","America/Los_Angeles",81,"White",593
"0904c19a-3c07-4017-94ad-f1b1e8a3d55e","Man","America/Los_Angeles",32,"White",148
"090e543a-ec02-4507-8d8f-2104ed45a3fc","Woman","America/New_York",35,"White",103
"09be47c6-c6ac-4cc1-a269-a09e4abbf1dd","Man","America/Detroit",21,"White",10
"09c07c1c-802c-4678-8ed1-5aa4a90d49d6","Man","America/New_York",48,"White",124
"0a40dec7-c379-4c49-98ab-3444a3838b4e","Woman","America/Los_Angeles",32,"Asian",37
"0a5042ec-d484-499d-ac5f-77b43c547ded","Man","America/Detroit",25,"White",23
"0a61dea8-6053-4015-88ee-d52d6438ff99","Woman","America/Detroit",20,"Asian",1
"0a7a4dfd-8ce2-4f35-9dab-97d2b24b4312","Woman","America/New_York",18,"White",42
"0a8cfb53-1274-4ac6-a66d-23175e6d4b8e","Woman","America/Detroit",21,"Asian",2
"0a9f8a9d-c25f-4823-85b1-18109cbbf453","Man","America/New_York",51,"White",874
"0b19fe09-e1cd-4204-b86a-007f8d43c51d","Woman","America/Chicago",23,"Asian",42
"0b2633c9-e8f5-4e6f-acb4-6f769fecf074","Woman","America/Detroit",21,"Asian",33
"0b461f75-637f-4a3f-a49e-7079a4d24e53","Woman","America/Detroit",20,"White",21
"0b47e7ca-07c8-45b4-8547-4e4baaefbf6a","Woman","America/Chicago",20,"Asian",52
"0b83c474-c767-4a88-9701-2e0e906c222b","Woman","America/Detroit",21,"Asian",3
"0baa5fa1-4952-4f0d-b5a9-2ccec950f3ca","Woman","America/Detroit",21,"Asian",169
"0bbcca73-6427-4a90-8943-74e2c3116e5b","Woman","America/New_York",20,"Asian",10
"0bc0d3aa-83b4-49e6-98cf-e699a6c7dea5","Woman","America/Detroit",25,"Black",269
"0bc9815c-534f-4425-b38c-14ed4af5706a","Woman","America/Detroit",20,"White",11
"0bd64bc8-c23e-4178-b228-54b2e7d53998","Woman","America/Detroit",20,"Asian",18
